date,dli_mol_m2_day,climate_compliance_rate_pct,avg_air_temperature_C,avg_vpd_kpa
2026-05-01,11.400,97.80,20.13,0.885
2026-05-02,12.500,98.40,20.17,0.876
2026-05-03,11.600,97.90,20.09,0.869
2026-05-04,12.400,74.20,21.71,1.079
2026-05-05,11.200,96.10,19.83,0.873
2026-05-06,12.000,68.50,19.63,0.675
2026-05-07,11.700,92.70,20.01,0.91
2026-05-08,3.900,57.40,20.15,0.928
2026-05-09,12.300,88.20,20.18,0.93
2026-05-10,10.900,63.30,20.08,0.918
2026-05-11,11.800,91.10,19.91,0.894
2026-05-12,10.800,87.60,21.22,0.954
2026-05-13,12.600,92.80,19.88,0.866
2026-05-14,10.700,84.10,20.0,0.866
